review_priority,case_id,profile_id,source,title,current_expected_label,current_expected_section,current_review_required,label_source,regression_rule,current_score,current_match_label,current_section,gates_triggered,current_reasons,fixture_rationale,human_review_question,job_id,job_external_id,job_source_hash,job_canonical_opportunity_id,job_url,job_location,applicant_location_requirements,job_location_scope,job_remote_status,job_description_or_requirements_excerpt,job_context_source,job_context_resolution_status,ambiguous_candidate_count,ambiguous_candidate_locations,ambiguous_candidate_urls,ambiguous_candidate_ids,profile_display_name,profile_education_level,profile_degrees_or_domains,profile_languages,profile_skills,profile_work_preferences,profile_constraints,profile_target_opportunity_types,profile_notes,profile_location,profile_location_status,location_eligibility,location_eligibility_reason,human_label,human_expected_section,human_review_required,human_notes,approved_by,approved_at
205,beginner_bilingual_no_degree_005,beginner_bilingual_no_degree,DataAnnotation,Bilingual AI Trainer,plausible,also_worth_reviewing,TRUE,codex_draft,,18,Possible,also_worth_reviewing,,"Language/translation signal; Remote/flexible signal; Evergreen application, useful but not counted in live estimate",Evergreen bilingual application is relevant but not live inventory.,"Should this draft label be approved, softened, or kept review-required?",fixture:beginner_bilingual_no_degree_005,,,,,Remote,,unknown,remote,Bilingual AI Trainer | Remote | Unknown | Unknown | Unknown,current_db,partial,,,,,Beginner Bilingual Remote Worker,no_degree,generalist | language,English | Spanish,bilingual communication | web research | basic writing | review,remote | flexible | entry-level,no college degree | beginner,data annotation | search evaluation | language review | AI training generalist,Beginner bilingual English/Spanish profile looking for accessible remote AI-work entry points.,,unknown,unknown,Stored data does not provide enough applicant-location evidence.,plausible,also_worth_reviewing,FALSE,"Good fit for a beginner bilingual profile because it aligns with language review, data annotation, and general AI training targets. However, this is a broad evergreen application rather than a specific live English-Spanish role, so also_worth_reviewing is appropriate rather than best_matches.",,
195,multilingual_translator_005,multilingual_translator,Mercor,French Voice/Audio AI Data Roles,strong,best_matches,TRUE,codex_draft,,23,Possible,best_matches,,French language match; French language signal; Remote/flexible signal; Live/countable opportunity,French voice/audio AI data role is relevant language work.,"Should this draft label be approved, softened, or kept review-required?",fixture:multilingual_translator_005,,,,,Remote,,unknown,remote,French Voice/Audio AI Data Roles | Remote | Unknown | Unknown | Unknown,current_db,partial,,,,,Multilingual Translator / Linguist,not_specified,language | translation | linguistics,English | Spanish | Portuguese | French,translation | localization | language review | linguistics,remote | flexible,,language review | translation evaluation | AI linguistics,"Multilingual profile with translation, language review, localization, or linguistic evaluation experience.",,unknown,unknown,Stored data does not provide enough applicant-location evidence.,strong,best_matches,FALSE,"Strong language-data match for a multilingual translator/linguist with French. The role is directly tied to French voice/audio AI data work and aligns with language review, linguistics, and AI language evaluation targets. Location eligibility is not fully known from stored data, but no explicit restriction is available here, so best_matches is appropriate.",,
195,multilingual_translator_006,multilingual_translator,Mercor,Spanish Voice/Audio AI Data Roles,strong,best_matches,TRUE,codex_draft,,23,Possible,best_matches,,Spanish language match; Spanish language signal; Remote/flexible signal; Live/countable opportunity,Spanish voice/audio AI data role is relevant language work.,"Should this draft label be approved, softened, or kept review-required?",fixture:multilingual_translator_006,,,,,Remote,,unknown,remote,Spanish Voice/Audio AI Data Roles | Remote | Unknown | Unknown | Unknown,current_db,partial,,,,,Multilingual Translator / Linguist,not_specified,language | translation | linguistics,English | Spanish | Portuguese | French,translation | localization | language review | linguistics,remote | flexible,,language review | translation evaluation | AI linguistics,"Multilingual profile with translation, language review, localization, or linguistic evaluation experience.",,unknown,unknown,Stored data does not provide enough applicant-location evidence.,strong,best_matches,FALSE,"Strong language-data match for a multilingual translator/linguist with Spanish. The role is directly tied to Spanish voice/audio AI data work and aligns with language review, linguistics, and AI language evaluation targets. Location eligibility is not fully known from stored data, but no explicit restriction is available here, so best_matches is appropriate.",,
140,phd_history_researcher_013,phd_history_researcher,Welocalize,French Search & Data Labelling Rater - Morocco,weak,explore_only,FALSE,codex_draft,,30,Medium,do_these_first,,AI evaluation/training signal; Search/research quality signal; French language signal; Remote/flexible signal; Live/countable opportunity,French/search rater may be a language-adjacent role but not a strong history match.,"Should this stay Explore Market only, or is it a useful personalized shortlist item?",fixture:phd_history_researcher_013,,,,,Remote,,unknown,remote,French Search & Data Labelling Rater - Morocco | Remote | Unknown | Unknown | Unknown,current_db,partial,,,,,PhD History Researcher,phd,history | humanities | academic research,English | French,archival research | academic writing | fact checking | source evaluation,remote | flexible,,expert AI training | research evaluation | humanities AI tasks | writing review,"Advanced humanities researcher interested in AI training tasks that need source analysis, writing, and expert review.",,unknown,unknown,Stored data does not provide enough applicant-location evidence.,weak,explore_only,FALSE,"Matcher over-ranked this as do_these_first. French and search/data-labeling signals are somewhat adjacent to the profile, but the role is not a strong history/humanities research match and may be location-restricted to Morocco while profile location is unknown. Should stay explore_only.",,
135,phd_history_researcher_006,phd_history_researcher,DataAnnotation,Law Expert / Legal AI Trainer,weak,explore_only,TRUE,codex_draft,,0,Possible,explore_only,-28 Legal role does not match this profile; -10 Match is based mostly on generic AI-work terms,"Remote/flexible signal; Evergreen application, useful but not counted in live estimate; Legal role does not match this profile; Match is based mostly on generic AI-work terms",Humanities researcher may review legal prose only with legal credentials; not a strong fit.,"Should this draft label be approved, softened, or kept review-required?",9202,dataannotation::law,19169a19f08379a03e4481776b3097bf9f863b272e90a641480ab46d7d61339f,,https://www.dataannotation.tech/law,Remote,,unknown,remote,Law Expert / Legal AI Trainer | Remote | Legal Experts | Legal Experts,current_db,resolved,,,,,PhD History Researcher,phd,history | humanities | academic research,English | French,archival research | academic writing | fact checking | source evaluation,remote | flexible,,expert AI training | research evaluation | humanities AI tasks | writing review,"Advanced humanities researcher interested in AI training tasks that need source analysis, writing, and expert review.",,unknown,unknown,Stored data does not provide enough applicant-location evidence.,weak,explore_only,FALSE,"Weak adjacent fit only. The profile has strong humanities research, writing, fact-checking, and source-evaluation skills, but no legal education or legal-domain experience. A legal expert role should not be treated as a personalized match unless legal credentials are present, so explore_only is appropriate.",,
125,beginner_bilingual_no_degree_010,beginner_bilingual_no_degree,Welocalize,Alpheratz Project - Catalan Translation Quality Rater,false_positive,exclude,FALSE,codex_draft,unsupported_explicit_language,34,Strong,explore_only,,Language/translation signal; AI evaluation/training signal; Search/research quality signal; Remote/flexible signal; Live/countable opportunity,Catalan is unsupported.,"Does this role require skills, credentials, or languages absent from the profile?",fixture:beginner_bilingual_no_degree_010,,,,,Remote,,unknown,remote,Alpheratz Project - Catalan Translation Quality Rater | Remote | Unknown | Unknown | Unknown,current_db,partial,,,,,Beginner Bilingual Remote Worker,no_degree,generalist | language,English | Spanish,bilingual communication | web research | basic writing | review,remote | flexible | entry-level,no college degree | beginner,data annotation | search evaluation | language review | AI training generalist,Beginner bilingual English/Spanish profile looking for accessible remote AI-work entry points.,,unknown,unknown,Stored data does not provide enough applicant-location evidence.,false_positive,exclude,FALSE,"Correctly excluded. The role specifically requires Catalan translation quality review, but the profile only lists English and Spanish. Spanish should not be treated as Catalan eligibility, so this is a false positive despite generic language/AI-evaluation signals.",,
125,beginner_bilingual_no_degree_011,beginner_bilingual_no_degree,Welocalize,Alpheratz Project - Czech Translation Quality Rater,false_positive,exclude,FALSE,codex_draft,unsupported_explicit_language,34,Strong,explore_only,,Language/translation signal; AI evaluation/training signal; Search/research quality signal; Remote/flexible signal; Live/countable opportunity,Czech is unsupported.,"Does this role require skills, credentials, or languages absent from the profile?",fixture:beginner_bilingual_no_degree_011,,,,,Remote,,unknown,remote,Alpheratz Project - Czech Translation Quality Rater | Remote | Unknown | Unknown | Unknown,current_db,partial,,,,,Beginner Bilingual Remote Worker,no_degree,generalist | language,English | Spanish,bilingual communication | web research | basic writing | review,remote | flexible | entry-level,no college degree | beginner,data annotation | search evaluation | language review | AI training generalist,Beginner bilingual English/Spanish profile looking for accessible remote AI-work entry points.,,unknown,unknown,Stored data does not provide enough applicant-location evidence.,false_positive,exclude,FALSE,"Requires Czech translation quality review, but the profile only lists English and Spanish. Generic language/translation and AI-evaluation signals should not override the missing required language, so false_positive/exclude is correct.",,
120,phd_history_researcher_011,phd_history_researcher,Turing,Academic Dermatologist,false_positive,exclude,FALSE,codex_draft,history_medical_false_positive,0,Possible,explore_only,-28 Specialized science or medical role does not match this profile,Research/humanities signal; Remote/flexible signal; Live/countable opportunity; Specialized science or medical role does not match this profile,Academic title should not override medical-specialty mismatch.,"Does this role require skills, credentials, or languages absent from the profile?",fixture:phd_history_researcher_011,,,,,Remote,,unknown,remote,Academic Dermatologist | Remote | Unknown | Unknown | Unknown,current_db,partial,,,,,PhD History Researcher,phd,history | humanities | academic research,English | French,archival research | academic writing | fact checking | source evaluation,remote | flexible,,expert AI training | research evaluation | humanities AI tasks | writing review,"Advanced humanities researcher interested in AI training tasks that need source analysis, writing, and expert review.",,unknown,unknown,Stored data does not provide enough applicant-location evidence.,false_positive,exclude,FALSE,"Correct false positive. The profile is an academic humanities/history researcher, but the role requires specialized medical/dermatology expertise. The word “Academic” should not override the medical-specialty mismatch, so this should be excluded rather than shown as a personalized match.",,
120,software_engineer_009,software_engineer,Turing,Scientific Coding - Biology and Python,plausible,also_worth_reviewing,TRUE,codex_draft,,31,Medium,do_these_first,,Coding/technical task match; Python match; Remote/flexible signal; Live/countable opportunity,"Python coding is relevant, but biology domain may matter.","Should this draft label be approved, softened, or kept review-required?",8816,_KFv7uc65oWO,0d6217b68447d3feab54672e5f66695f864ed094db699605b12ecdb34e697247,1742,https://work.turing.com/jobs?jobId=81519&search=81519,remote,,unknown,remote,Scientific Coding - Biology and Python | remote | Science | Science | Science,current_db,resolved,,,,,Software Engineer / Coding Evaluator,technical,software | coding | python,English,python | software engineering | code review | testing,remote | flexible,,coding evaluation | technical review | AI coding,"Software/Python/coding background, interested in coding evaluation, AI coding tasks, and technical review.",,unknown,unknown,Stored data does not provide enough applicant-location evidence.,plausible,also_worth_reviewing,FALSE,"Python/coding evaluation is relevant to this software engineer profile, but the role appears to require biology/scientific-domain knowledge that is not present in the profile. This should be softened from do_these_first to also_worth_reviewing rather than treated as a top-priority match.",,
110,beginner_bilingual_no_degree_012,beginner_bilingual_no_degree,Welocalize,Alpheratz Project - Danish Translation Quality Rater,false_positive,exclude,FALSE,codex_draft,unsupported_explicit_language,34,Strong,explore_only,,Language/translation signal; AI evaluation/training signal; Search/research quality signal; Remote/flexible signal; Live/countable opportunity,Danish is unsupported.,"Does this role require skills, credentials, or languages absent from the profile?",fixture:beginner_bilingual_no_degree_012,,,,,Remote,,unknown,remote,Alpheratz Project - Danish Translation Quality Rater | Remote | Unknown | Unknown | Unknown,current_db,partial,,,,,Beginner Bilingual Remote Worker,no_degree,generalist | language,English | Spanish,bilingual communication | web research | basic writing | review,remote | flexible | entry-level,no college degree | beginner,data annotation | search evaluation | language review | AI training generalist,Beginner bilingual English/Spanish profile looking for accessible remote AI-work entry points.,,unknown,unknown,Stored data does not provide enough applicant-location evidence.,false_positive,exclude,FALSE,"Requires Danish translation quality review, but the profile only lists English and Spanish. Generic language/translation and AI-evaluation signals should not override the missing required language, so false_positive/exclude is correct.",,
110,beginner_bilingual_no_degree_013,beginner_bilingual_no_degree,Welocalize,Alpheratz Project - Dutch Translation Quality Rater,false_positive,exclude,FALSE,codex_draft,unsupported_explicit_language,34,Strong,explore_only,,Language/translation signal; AI evaluation/training signal; Search/research quality signal; Remote/flexible signal; Live/countable opportunity,Dutch is unsupported.,"Does this role require skills, credentials, or languages absent from the profile?",fixture:beginner_bilingual_no_degree_013,,,,,Remote,,unknown,remote,Alpheratz Project - Dutch Translation Quality Rater | Remote | Unknown | Unknown | Unknown,current_db,partial,,,,,Beginner Bilingual Remote Worker,no_degree,generalist | language,English | Spanish,bilingual communication | web research | basic writing | review,remote | flexible | entry-level,no college degree | beginner,data annotation | search evaluation | language review | AI training generalist,Beginner bilingual English/Spanish profile looking for accessible remote AI-work entry points.,,unknown,unknown,Stored data does not provide enough applicant-location evidence.,false_positive,exclude,FALSE,"Requires Dutch translation quality review, but the profile only lists English and Spanish. Generic language/translation and AI-evaluation signals should not override the missing required language, so false_positive/exclude is correct.",,
110,beginner_bilingual_no_degree_014,beginner_bilingual_no_degree,Welocalize,Alpheratz Project - Korean Translation Quality Rater,false_positive,exclude,FALSE,codex_draft,unsupported_explicit_language,34,Strong,explore_only,,Language/translation signal; AI evaluation/training signal; Search/research quality signal; Remote/flexible signal; Live/countable opportunity,Korean is unsupported.,"Does this role require skills, credentials, or languages absent from the profile?",fixture:beginner_bilingual_no_degree_014,,,,,Remote,,unknown,remote,Alpheratz Project - Korean Translation Quality Rater | Remote | Unknown | Unknown | Unknown,current_db,partial,,,,,Beginner Bilingual Remote Worker,no_degree,generalist | language,English | Spanish,bilingual communication | web research | basic writing | review,remote | flexible | entry-level,no college degree | beginner,data annotation | search evaluation | language review | AI training generalist,Beginner bilingual English/Spanish profile looking for accessible remote AI-work entry points.,,unknown,unknown,Stored data does not provide enough applicant-location evidence.,false_positive,exclude,FALSE,"Requires Korean translation quality review, but the profile only lists English and Spanish. Generic language/translation and AI-evaluation signals should not override the missing required language, so false_positive/exclude is correct.",,
110,beginner_bilingual_no_degree_002,beginner_bilingual_no_degree,Welocalize,Alpheratz Project - Spanish (US) Translation Quality Reviewer,strong,best_matches,FALSE,codex_draft,,32,Medium,do_these_first,,Language/translation signal; Search/research quality signal; Spanish language signal; Remote/flexible signal; Live/countable opportunity,Spanish-English review work is directly relevant.,"Is this genuinely a strong fit, an adjacent opportunity, Explore Market only, or a false positive?",fixture:beginner_bilingual_no_degree_002,,,,,Remote,,unknown,remote,Alpheratz Project - Spanish (US) Translation Quality Reviewer | Remote | Unknown | Unknown | Unknown,current_db,partial,,,,,Beginner Bilingual Remote Worker,no_degree,generalist | language,English | Spanish,bilingual communication | web research | basic writing | review,remote | flexible | entry-level,no college degree | beginner,data annotation | search evaluation | language review | AI training generalist,Beginner bilingual English/Spanish profile looking for accessible remote AI-work entry points.,,unknown,unknown,Stored data does not provide enough applicant-location evidence.,strong,best_matches,FALSE,"Strong language-review match. The profile has English/Spanish bilingual skills and targets language review, data annotation, and AI-work entry points. Spanish (US) translation quality review is directly relevant, but because detailed requirements/location eligibility are not fully resolved, best_matches is more appropriate than do_these_first.",,
