case_id,profile_id,profile_name,profile_summary,source,title,url,canonical_opportunity_id,external_id,source_hash,snapshot_source_type,fidelity_classification,issue_group,primary_issue,ambiguity_reason,diagnostic_candidate_count,human_label,human_expected_section,human_notes,current_benchmark_label,current_effective_section,score,raw_match_label,raw_product_section,inventory_model,opportunity_kind,market_count_policy,availability_basis,source_category,expertise,department,location,language,language_locale,required_languages,commitment,employment_type,profile_or_opportunity_kind,missing_fields,suspicious_fields,internal_inconsistencies,similar_live_candidates_count,exact_stable_live_match_available,unsafe_title_or_similarity_candidates,candidate_summary_for_diagnostics,why_review,reviewer_should_decide,matching_changes_blocked_until_review,review_decision,proposed_inventory_model,proposed_opportunity_kind,proposed_market_count_policy,proposed_availability_basis,proposed_source_category,proposed_expertise,proposed_department,proposed_location,proposed_language,proposed_language_locale,proposed_required_languages,proposed_canonical_opportunity_id,proposed_url,proposed_external_id,proposed_source_hash,proposed_enrichment_notes
beginner_bilingual_no_degree_010,beginner_bilingual_no_degree,Beginner Bilingual Remote Worker,Beginner bilingual English/Spanish profile looking for accessible remote AI-work entry points.,Welocalize,Alpheratz Project - Catalan Translation Quality Rater,,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,Structured metadata gaps,missing_structured_metadata,,0,false_positive,exclude,"Correctly excluded. The role specifically requires Catalan translation quality review, but the profile only lists English and Spanish. Spanish should not be treated as Catalan eligibility, so this is a false positive despite generic language/AI-evaluation signals.",false_positive,exclude,34,Strong,explore_only,live_feed,live_posting,count_live,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,taxonomy,,0,no,no,,Structured metadata is missing or internally inconsistent: url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages; taxonomy,"Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,approve_metadata_update,,,,,Translation,Catalan Translation Quality Review,Language/Translation,,Catalan,,Catalan,,,,,"Approve fixture-only metadata update. Treat this reviewed Catalan Translation Quality Rater opportunity as language/translation quality-review work requiring Catalan for benchmark purposes. The human decision is false_positive/exclude because the beginner bilingual profile lists English and Spanish, and Spanish should not be treated as Catalan eligibility. No exact stable live row is available, so do not tie this case to a URL, external_id, source_hash, or canonical_opportunity_id. This is a human-approved fixture metadata correction to make the unsupported required language explicit, not an automatic title-derived taxonomy rule."
beginner_bilingual_no_degree_011,beginner_bilingual_no_degree,Beginner Bilingual Remote Worker,Beginner bilingual English/Spanish profile looking for accessible remote AI-work entry points.,Welocalize,Alpheratz Project - Czech Translation Quality Rater,,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,Structured metadata gaps,missing_structured_metadata,,0,false_positive,exclude,"Requires Czech translation quality review, but the profile only lists English and Spanish. Generic language/translation and AI-evaluation signals should not override the missing required language, so false_positive/exclude is correct.",false_positive,exclude,34,Strong,explore_only,live_feed,live_posting,count_live,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,taxonomy,,0,no,no,,Structured metadata is missing or internally inconsistent: url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages; taxonomy,"Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,approve_metadata_update,,,,,Translation,Czech Translation Quality Review,Language/Translation,,Czech,,Czech,,,,,"Approve fixture-only metadata update. Treat this reviewed Czech Translation Quality Rater opportunity as language/translation quality-review work requiring Czech for benchmark purposes. The human decision is false_positive/exclude because the beginner bilingual profile lists English and Spanish, and neither should be treated as Czech eligibility. No exact stable live row is available, so do not tie this case to a URL, external_id, source_hash, or canonical_opportunity_id. This is a human-approved fixture metadata correction to make the unsupported required language explicit, not an automatic title-derived taxonomy rule."
beginner_bilingual_no_degree_012,beginner_bilingual_no_degree,Beginner Bilingual Remote Worker,Beginner bilingual English/Spanish profile looking for accessible remote AI-work entry points.,Welocalize,Alpheratz Project - Danish Translation Quality Rater,,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,Structured metadata gaps,missing_structured_metadata,,0,false_positive,exclude,"Requires Danish translation quality review, but the profile only lists English and Spanish. Generic language/translation and AI-evaluation signals should not override the missing required language, so false_positive/exclude is correct.",false_positive,exclude,34,Strong,explore_only,live_feed,live_posting,count_live,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,taxonomy,,0,no,no,,Structured metadata is missing or internally inconsistent: url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages; taxonomy,"Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,approve_metadata_update,,,,,Translation,Danish Translation Quality Review,Language/Translation,,Danish,,Danish,,,,,"Approve fixture-only metadata update. Treat this reviewed Danish Translation Quality Rater opportunity as language/translation quality-review work requiring Danish for benchmark purposes. The human decision is false_positive/exclude because the beginner bilingual profile lists English and Spanish, and neither should be treated as Danish eligibility. No exact stable live row is available, so do not tie this case to a URL, external_id, source_hash, or canonical_opportunity_id. This is a human-approved fixture metadata correction to make the unsupported required language explicit, not an automatic title-derived taxonomy rule."
beginner_bilingual_no_degree_013,beginner_bilingual_no_degree,Beginner Bilingual Remote Worker,Beginner bilingual English/Spanish profile looking for accessible remote AI-work entry points.,Welocalize,Alpheratz Project - Dutch Translation Quality Rater,,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,Structured metadata gaps,missing_structured_metadata,,0,false_positive,exclude,"Requires Dutch translation quality review, but the profile only lists English and Spanish. Generic language/translation and AI-evaluation signals should not override the missing required language, so false_positive/exclude is correct.",false_positive,exclude,34,Strong,explore_only,live_feed,live_posting,count_live,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,taxonomy,,0,no,no,,Structured metadata is missing or internally inconsistent: url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages; taxonomy,"Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,approve_metadata_update,,,,,Translation,Dutch Translation Quality Review,Language/Translation,,Dutch,,Dutch,,,,,"Approve fixture-only metadata update. Treat this reviewed Dutch Translation Quality Rater opportunity as language/translation quality-review work requiring Dutch for benchmark purposes. The human decision is false_positive/exclude because the beginner bilingual profile lists English and Spanish, and neither should be treated as Dutch eligibility. No exact stable live row is available, so do not tie this case to a URL, external_id, source_hash, or canonical_opportunity_id. This is a human-approved fixture metadata correction to make the unsupported required language explicit, not an automatic title-derived taxonomy rule."
beginner_bilingual_no_degree_014,beginner_bilingual_no_degree,Beginner Bilingual Remote Worker,Beginner bilingual English/Spanish profile looking for accessible remote AI-work entry points.,Welocalize,Alpheratz Project - Korean Translation Quality Rater,,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,Structured metadata gaps,missing_structured_metadata,,0,false_positive,exclude,"Requires Korean translation quality review, but the profile only lists English and Spanish. Generic language/translation and AI-evaluation signals should not override the missing required language, so false_positive/exclude is correct.",false_positive,exclude,34,Strong,explore_only,live_feed,live_posting,count_live,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,taxonomy,,0,no,no,,Structured metadata is missing or internally inconsistent: url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages; taxonomy,"Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,approve_metadata_update,,,,,Translation,Korean Translation Quality Review,Language/Translation,,Korean,,Korean,,,,,"Approve fixture-only metadata update. Treat this reviewed Korean Translation Quality Rater opportunity as language/translation quality-review work requiring Korean for benchmark purposes. The human decision is false_positive/exclude because the beginner bilingual profile lists English and Spanish, and neither should be treated as Korean eligibility. No exact stable live row is available, so do not tie this case to a URL, external_id, source_hash, or canonical_opportunity_id. This is a human-approved fixture metadata correction to make the unsupported required language explicit, not an automatic title-derived taxonomy rule."
biology_or_medicine_academic_006,biology_or_medicine_academic,Biology / Medicine Academic,"Biology, medicine, or life sciences background with advanced academic profile, interested in expert AI training tasks.",Mercor,Biology Research Scientist,,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,Structured metadata gaps,missing_structured_metadata,,0,strong,best_matches,"Strong direct biology/life-sciences match for an advanced biology/medicine academic profile. The role aligns with biology research, scientific writing, medical/scientific review, and STEM expert AI training targets. However, because job context and eligibility are only partially resolved, best_matches is more appropriate than do_these_first.",plausible,do_these_first,30,Medium,do_these_first,live_feed,live_posting,count_live,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,taxonomy,,0,no,no,,Structured metadata is missing or internally inconsistent: url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages; taxonomy,"Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,approve_metadata_update,,,,,Sciences/Medical,Biology Research,Sciences/Medical,,,,,,,,,"Approve fixture-only metadata update. Treat this reviewed Biology Research Scientist opportunity as biology/life-sciences domain work for benchmark purposes. The current snapshot lacks structured science/medical metadata, even though the human decision is that this is a strong direct match for a biology/medicine academic profile. No exact stable live row is available, so do not tie this case to a URL, external_id, source_hash, or canonical_opportunity_id. This is a human-approved fixture metadata correction, not an automatic title-derived taxonomy rule. Keep the human section as best_matches rather than do_these_first because job context and eligibility are only partially resolved."
biology_or_medicine_academic_008,biology_or_medicine_academic,Biology / Medicine Academic,"Biology, medicine, or life sciences background with advanced academic profile, interested in expert AI training tasks.",Mercor,Medicine Physician,,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,Structured metadata gaps,missing_structured_metadata,,0,strong,best_matches,"Strong medical-domain match for an advanced biology/medicine academic profile with medical review targets. However, the role appears to require physician/clinical credentials, which are not explicit in the profile, so best_matches is appropriate rather than do_these_first.",weak,best_matches,23,Possible,best_matches,live_feed,live_posting,count_live,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,taxonomy,,0,no,no,,Structured metadata is missing or internally inconsistent: url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages; taxonomy,"Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,approve_metadata_update,,,,,Healthcare & Medical,Medicine / Physician,Healthcare & Medical,,,,,,,,,"Approve fixture-only metadata update. Treat this reviewed Medicine Physician opportunity as healthcare/medical domain work for benchmark purposes. The current snapshot lacks structured medical metadata, which causes the matcher to under-label it even though the human decision is that it is a strong medical-domain match for a biology/medicine academic profile. No exact stable live row is available, so do not tie this case to a URL, external_id, source_hash, or canonical_opportunity_id. This is a human-approved fixture metadata correction, not an automatic title-derived taxonomy rule. Keep the human section as best_matches rather than do_these_first because physician/licensure requirements and exact eligibility are not fully resolved."
english_teacher_remote_013,english_teacher_remote,English Teacher Seeking Remote AI Work,"Experienced English teacher looking for remote AI writing, review, and evaluator work.",Outlier,Polish STEM Writing Expertise Sought for AI Training,,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,Structured metadata gaps,missing_structured_metadata,,0,false_positive,exclude,"Requires Polish and STEM writing expertise, but the profile only lists English teaching, writing feedback, grammar, and content review skills. Generic writing/AI-training signals should not override missing Polish language and STEM-domain requirements, so false_positive/exclude is correct.",false_positive,exclude,26,Medium,explore_only,live_feed,live_posting,count_live,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,taxonomy,,0,no,no,,Structured metadata is missing or internally inconsistent: url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages; taxonomy,"Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,approve_metadata_update,,,,,Writing,Polish STEM Writing,STEM/Writing,,Polish,,Polish,,,,,"Approve fixture-only metadata update. Treat this reviewed Polish STEM Writing opportunity as writing/STEM-domain work requiring Polish for benchmark purposes. The human decision is false_positive/exclude because the English Teacher profile has English teaching, writing feedback, grammar, and content review skills, but does not list Polish language eligibility or STEM-domain expertise. No exact stable live row is available, so do not tie this case to a URL, external_id, source_hash, or canonical_opportunity_id. This is a human-approved fixture metadata correction to make the unsupported required language and STEM-writing requirement explicit, not an automatic title-derived taxonomy rule."
lawyer_001,lawyer,Legal Expert / Lawyer,"Law/legal background, interested in legal AI training, expert review, contracts, and legal reasoning tasks.",Mercor,Attorney / Legal Expert (Real Estate/Energy),,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,Structured metadata gaps,missing_structured_metadata,,0,strong,best_matches,"Strong legal-domain match. Attorney/Legal Expert work aligns with the profile’s law/legal background, legal reasoning, contracts, expert review, and legal AI training targets. However, real estate/energy specialization is not explicit and job context is only partially resolved, so best_matches is more appropriate than do_these_first.",plausible,do_these_first,30,Medium,do_these_first,live_feed,live_posting,count_live,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,taxonomy,,0,no,no,,Structured metadata is missing or internally inconsistent: url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages; taxonomy,"Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,approve_metadata_update,,,,,Law,Real Estate / Energy Law,,,,,,,,,,"Approve fixture-only metadata update. Treat this reviewed Attorney / Legal Expert opportunity as legal-domain work with Real Estate / Energy Law specialization for benchmark purposes. The current snapshot lacks structured legal metadata, even though the human decision is that it is a strong match for a lawyer/legal expert profile. No exact stable live row is available, so do not tie this case to a URL, external_id, source_hash, or canonical_opportunity_id. This is a human-approved fixture metadata correction, not an automatic title-derived taxonomy rule. Keep the human section as best_matches rather than do_these_first because the role is a specialized legal subtype and should not automatically be treated as the top immediate action."
lawyer_004,lawyer,Legal Expert / Lawyer,"Law/legal background, interested in legal AI training, expert review, contracts, and legal reasoning tasks.",Mercor,Legal Expert - Employment/Labor Law,,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,Structured metadata gaps,missing_structured_metadata,,0,strong,best_matches,"Strong legal-domain match. Employment/Labor Law aligns with the profile’s law/legal background, legal reasoning, contracts, expert review, and legal AI training targets. However, employment/labor law specialization is not explicit and job context is only partially resolved, so best_matches is more appropriate than do_these_first.",plausible,do_these_first,30,Medium,do_these_first,live_feed,live_posting,count_live,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,taxonomy,,0,no,no,,Structured metadata is missing or internally inconsistent: url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages; taxonomy,"Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,approve_metadata_update,,,,,Law,Employment / Labor Law,,,,,,,,,,"Approve fixture-only metadata update. Treat this reviewed Legal Expert - Employment/Labor Law opportunity as legal-domain work with Employment / Labor Law specialization for benchmark purposes. The current snapshot lacks structured legal metadata, even though the human decision is that it is a strong match for a lawyer/legal expert profile. No exact stable live row is available, so do not tie this case to a URL, external_id, source_hash, or canonical_opportunity_id. This is a human-approved fixture metadata correction, not an automatic title-derived taxonomy rule. Keep the human section as best_matches rather than do_these_first because the role is a specialized legal subtype and should not automatically be treated as the top immediate action."
multilingual_translator_005,multilingual_translator,Multilingual Translator / Linguist,"Multilingual profile with translation, language review, localization, or linguistic evaluation experience.",Mercor,French Voice/Audio AI Data Roles,,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,Structured metadata gaps,missing_structured_metadata,,0,strong,best_matches,"Strong language-data match for a multilingual translator/linguist with French. The role is directly tied to French voice/audio AI data work and aligns with language review, linguistics, and AI language evaluation targets. Location eligibility is not fully known from stored data, but no explicit restriction is available here, so best_matches is appropriate.",weak,best_matches,23,Possible,best_matches,live_feed,live_posting,count_live,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,taxonomy,,0,no,no,,Structured metadata is missing or internally inconsistent: url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages; taxonomy,"Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,approve_metadata_update,,,,,Language Data,French Voice/Audio AI Data,Language/Audio,,French,,French,,,,,"Approve fixture-only metadata update. Treat this reviewed French Voice/Audio AI Data Roles opportunity as language/audio AI data work requiring French for benchmark purposes. The current snapshot lacks structured language and audio-data metadata, which causes the matcher to under-label it even though the human decision is that it is a strong match for a multilingual translator/linguist profile with French. No exact stable live row is available, so do not tie this case to a URL, external_id, source_hash, or canonical_opportunity_id. This is a human-approved fixture metadata correction, not an automatic title-derived taxonomy rule. Keep the human section as best_matches because location eligibility and exact role requirements are not fully known from the stored data."
multilingual_translator_006,multilingual_translator,Multilingual Translator / Linguist,"Multilingual profile with translation, language review, localization, or linguistic evaluation experience.",Mercor,Spanish Voice/Audio AI Data Roles,,,,,fixture_snapshot_fields,fixture_missing_structured_metadata,Structured metadata gaps,missing_structured_metadata,,0,strong,best_matches,"Strong language-data match for a multilingual translator/linguist with Spanish. The role is directly tied to Spanish voice/audio AI data work and aligns with language review, linguistics, and AI language evaluation targets. Location eligibility is not fully known from stored data, but no explicit restriction is available here, so best_matches is appropriate.",weak,best_matches,23,Possible,best_matches,live_feed,live_posting,count_live,api_feed,Unknown,Unknown,Unknown,Remote,,,,,,live_posting,url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages,taxonomy,,0,no,no,,Structured metadata is missing or internally inconsistent: url; external_id; source_hash; canonical_opportunity_id; source_category; expertise; department; language; language_locale; required_languages; taxonomy,"Decide whether to approve fixture-only metadata updates, research a stable row, or leave unchanged.",yes,approve_metadata_update,,,,,Language Data,Spanish Voice/Audio AI Data,Language/Audio,,Spanish,,Spanish,,,,,"Approve fixture-only metadata update. Treat this reviewed Spanish Voice/Audio AI Data Roles opportunity as language/audio AI data work requiring Spanish for benchmark purposes. The current snapshot lacks structured language and audio-data metadata, which causes the matcher to under-label it even though the human decision is that it is a strong match for a multilingual translator/linguist profile with Spanish. No exact stable live row is available, so do not tie this case to a URL, external_id, source_hash, or canonical_opportunity_id. This is a human-approved fixture metadata correction, not an automatic title-derived taxonomy rule. Keep the human section as best_matches because location eligibility and exact role requirements are not fully known from the stored data."
